followers,polarity,sentiment_confidence,clusters,difference
222,0,0,4,0
143,0,1,1,0
22,-0.466666667,0.666666667,3,-7.82E-05
24,0,0,4,0
97,0,0,4,0
3,0.4,0.55,0,7.54E-06
55635,0.2,0.3,1,0.038151028
0,0.25,0.333333333,1,0
4,-0.9375,1,3,-4.29E-05
715,0.1,0.4,1,0.000326868
240,0,0,4,0
62,0,0,4,0
150,-0.15,0.4,1,-0.000102861
579,0,0,4,0
291,0.1,0.4,1,0.000133033
17,0,0.1,4,0
406,0,0,4,0
355,0,0,4,0
11,-0.75,1,3,-9.43E-05
1120,0,0,4,0
306,0.25,0.277777778,1,0.000242866
2407,0.5,0.9,0,0.012379284
9169,1,0.3,0,0.031437654
262,0.35,0.65,0,0.000681223
572,0,0,4,0
10693,0,0,4,0
1,-0.25,1,3,-2.86E-06
183,0.65,0.5,0,0.000679738
116,0,0,4,0
10693,0,0,4,0
184,0.25,0.25,1,0.000131433
506,0,0,4,0
1430,0.214285714,0.428571429,1,0.001500926
45,-0.083333333,0.188888889,4,-8.10E-06
10693,0.0625,0.5,1,0.00381906
3812,0.366666667,0.7,0,0.011182252
347,-0.15,0.4,1,-0.000237951
658,0,0,4,0
559,0,0.375,1,0
3393,0,0,4,0
387,-0.25,1,3,-0.001105752
97,0.25,0.277777778,1,7.70E-05
317,0,0,4,0
4,0,0,4,0
658,0.068181818,0.227272727,4,0.000116533
30258,0,0,4,0
1612,-0.75,1,3,-0.013817619
129,0.008333333,0.016666667,4,2.05E-07
31,0.5,0.5,0,8.86E-05
17,-0.75,1,3,-0.000145719
7905,0,0,4,0
5187,0.111111111,0.347222222,1,0.002287116
480,0,0,4,0
2937,0,0,4,0
1874,0.25,1,0,0.00535447
2,-0.25,1,3,-5.71E-06
170,0.25,1,0,0.000485731
542,-0.2,0.9,3,-0.00111501
1556,0,0,4,0
0,0.8,0.4,0,0
16,0.095238095,0.234126984,4,4.08E-06
583,0,0,4,0
455,-0.057291667,0.370833333,1,-0.000110481
376,0,0,4,0
103,0.25,0.5,1,0.000147148
225,0.244047619,0.482142857,1,0.00030258
13,-0.1,0.1,4,-1.49E-06
2794,0,0,4,0
57,-0.75,1,3,-0.000488588
344,-0.05,0.716666667,1,-0.000140881
67,0,0,4,0
97,0.036111111,0.347222222,1,1.39E-05
13335,0.125,0.1875,4,0.003571998
647,0.008333333,0.016666667,4,1.03E-06
13,0,0,4,0
258,0.2,0.45,1,0.000265381
3241,-0.083333333,0.033333333,4,-0.000102892
816,0,0,4,0
1954,0,0,4,0
362,0.1,0.2,4,8.27E-05
425,0,0,4,0
34,0,0,4,0
3,0.05,1,1,1.71E-06
1411,-0.1,0.1,4,-0.000161263
79,0,0,4,0
0,0.25,0.333333333,1,0
92,-0.75,1,3,-0.000788599
16,0,0.1,4,0
1286,0.136363636,0.454545455,1,0.000911011
146,0,0,4,0
9,-0.25,1,3,-2.57E-05
2910,0,0,4,0
5165,0.333333333,0.5,0,0.009838434
1094,0.25,0.591666667,1,0.001849445
895,-0.15,0.533333333,1,-0.000818314
217,-0.5,0.9,3,-0.001116038
793,0,0,4,0
183,0.566666667,0.616666667,0,0.000730863
401,0.6,1,0,0.002749809
0,0,0,4,0
2575,-0.125,1,3,-0.003678698
136,-0.276190476,0.471428571,1,-0.000202381
28,0,0.4,1,0
254,0.366666667,0.233333333,0,0.000248364
420,-0.5,0.5,3,-0.001200041
5165,0,0,4,0
5165,0.333333333,0.5,0,0.009838434
