,date,text,followers,polarity,sentiment_confidence,clusters,difference
0,2018-02-25 03:47:41,b'RT @PletchaPJWebb: @EricWilderOK FRENCH QUARTER MYSTERY SERIES set in New Orleans mystery/paranormal https://t.co/oh0F9UbITz  https://t.co/\xe2\x80\xa6',10045,0.06818181818181818,0.2272727272727273,4,0.00017090629368347082
1,2018-02-25 03:47:40,b'RT @charlesmilander: Twitter Cracks Down on Bots and Automation\nhttps://t.co/7iRZqsYCNe Start making money online. https://t.co/gUavOl03cF\xe2\x80\xa6',14,-0.1555555555555556,0.2888888888888889,0,-6.90775003420752e-07
2,2018-02-25 03:47:40,b'@abhishek @amazonIN @AmazonEchoIndia @amazon So cute',1,0.5,1.0,3,5.48987198558486e-07
3,2018-02-25 03:47:40,b'@winterpersists @amazon @Google @RokuPlayer @NRATV @NRA Why are the Victims of #Parkland smiling one moment and sad\xe2\x80\xa6 https://t.co/qGvYbgvl66',1562,0.0,0.0,4,0.0
4,2018-02-25 03:47:40,b'RT @ProudResister: SHAME ON YOU @amazon for providing a platform to the @NRA. Drop NRA TV from your streaming service or we will drop you.\xe2\x80\xa6',90,0.0,0.0,4,0.0
5,2018-02-25 03:47:40,b'RT @ProudResister: 20 brands have dumped the @NRA: \n\n@MetLife\n@symantec\n@LifeLock\n@BestWestern\n@Wyndham\n@Alamo\n@NationalPro\n@Enterprise\n@FN\xe2\x80\xa6',43,0.0,0.0,4,0.0
6,2018-02-25 03:47:40,b'RT @ProudResister: 20 brands have dumped the @NRA: \n\n@MetLife\n@symantec\n@LifeLock\n@BestWestern\n@Wyndham\n@Alamo\n@NationalPro\n@Enterprise\n@FN\xe2\x80\xa6',157,0.0,0.0,4,0.0
7,2018-02-25 03:47:40,"b'RT @SHOUTmyBook: RING OF THE CABAL is a revelation, a self-empowerment prescription, a mind sharpening tool and a strategy to fight. #IARTG\xe2\x80\xa6'",89362,0.0,0.0,4,0.0
8,2018-02-25 03:47:39,b'RT @sukikaru3mm: 2pac THUG LIFE #\xe3\x82\xbf\xe3\x83\x88\xe3\x82\xa5\xe3\x83\xbc\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\xab \nhttps://t.co/cmuDq2ePlK \n#thuglife #50niggaz #2pac #westside #gangsta #supreme #awesome #beach #p\xe2\x80\xa6',395,1.0,1.0,3,0.0004336998868612039
9,2018-02-25 03:47:39,"b'Check out ""High By The Beach [Explicit]"" by Lana Del Rey on Amazon Music. https://t.co/y4UXPFER9a https://t.co/HkbxPZ2Pqz'",10,0.16,0.5399999999999999,1,9.486498791090634e-07
