,date,text,followers,polarity,sentiment_confidence,clusters,difference
0,2018-02-25 04:45:51,"b'RT @shehackspurple: #WITBragDay is coming!  August 11, mark your calendars! https://t.co/EGwT9Vm6jW'",259,0.0,0.0,3,0.0
1,2018-02-25 04:45:51,"b'RT @MSFT_Business: Using #IoT solutions in #retail helps empower people, enable digital transformation, and capture data-based insights to\xe2\x80\xa6'",2248,0.0,0.0,3,0.0
2,2018-02-25 04:45:50,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",210,0.0,0.0,3,0.0
3,2018-02-25 04:45:29,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",290,0.0,0.0,3,0.0
4,2018-02-25 04:45:28,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",682,0.0,0.0,3,0.0
5,2018-02-25 04:45:27,"b'RT @Windows: Let these peaks inspire you to reach new heights. Download Mountain\xe2\x80\x99s Majesty, a 16-image Theme for Windows: https://t.co/jf0f\xe2\x80\xa6'",223,0.13636363636363635,0.4545454545454545,0,3.2018223089242186e-05
6,2018-02-25 04:45:09,b'\xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9c#GeniouxKBlock Microsoft CEO Nadella: How Empathy Sparks Innovation\xe2\x80\x9d #MeaningfulGrowth #GeniouxMG via\xe2\x80\xa6 https://t.co/D8xwktcDXI',9611,0.0,0.0,3,0.0
7,2018-02-25 04:45:09,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",221,0.0,0.0,3,0.0
8,2018-02-25 04:45:05,"b""RT @VentureBeat: From Microsoft to Intel, these are Ethisphere's 153 most ethical companies in 2018 https://t.co/oY5dL2uf9V https://t.co/yr\xe2\x80\xa6""",422,0.35,0.55,2,0.00018817401654481637
9,2018-02-25 04:45:04,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",21,0.0,0.0,3,0.0
10,2018-02-25 04:44:57,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",241,0.0,0.0,3,0.0
11,2018-02-25 04:44:40,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",138,0.0,0.0,3,0.0
12,2018-02-25 04:44:26,b'RT @UnifiedVale: Don\xe2\x80\x99t Waste Your Money on BYOSBC to Microsoft\xc2\xa0Teams https://t.co/RfPkuVcblv https://t.co/yRE1lW8ty6',49,-0.2,0.0,3,-0.0
